Height,Weight,Sex
187.64052345967664,66.96824459296506,Male
174.00157208367224,57.501534989897806,Female
179.7873798410574,96.00400371161503,Female
192.40893199201457,72.85973506115813,Female
188.67557990149967,67.33284409527106,Female
160.2272212012359,53.724623214761216,Male
179.5008841752559,84.58393499261871,Female
168.486427917023,91.4720752606749,Male
168.96781148206443,66.3239043511121,Male
174.10598501938372,60.65119284831944,Male
171.44043571160879,64.06001700991544,Male
184.54273506962974,49.62216396577375,Male
177.61037725146994,89.83903791500452,Male
171.21675016492827,70.05165907651327,Male
174.43863232745426,69.99704844837174,Female
173.33674327374266,93.00555933115669,Male
184.94079073157607,58.403766282635935,Male
167.94841736234198,63.981175942433744,Female
173.13067701650903,68.26964853441012,Female
161.45904260698276,85.1733317348199,Male
144.47010184165921,92.69853283083965,Female
176.5361859544036,83.75602931796885,Male
178.64436198859505,80.93339607681783,Female
162.5783497959356,78.28048214515695,Female
192.6975462398761,27.951488730325188,Male
155.45634325401235,64.05920232744809,Female
170.45758517301445,59.30284566874196,Female
168.12816149974165,89.51250503051858,Female
185.3277921435846,61.70701310771133,Male
184.69358769900285,101.06346114856763,Female
171.54947425696918,64.51137504859895,Female
173.78162519602174,56.535549375158894,Male
161.12214252369887,91.67404721531436,Male
150.19203531776074,72.59412781247063,Male
166.52087850673848,74.24032744425531,Female
171.5634896910398,86.36304344897815,Female
182.3029068072772,66.97977757534674,Female
182.02379848784412,59.78971367396022,Female
166.12673182592047,82.04912535600056,Male
166.97697249424664,64.86754255044191,Female
159.5144703493291,62.91266736701427,Female
155.79982062821026,59.6161465276173,Male
152.93729809374986,69.29993104421996,Female
189.5077539523179,60.706298676259976,Female
164.90347818248347,83.04289011290874,Female
165.61925698388814,67.79675720851046,Male
157.47204639950073,74.92137644601945,Female
177.7749035583191,49.55434750685644,Female
153.8610215244205,82.11751454579206,Male
167.8725971978603,79.9099604365299,Female
161.04533438806325,81.6827506770502,Male
173.86902497859262,92.60980379137813,Female
164.89194862431128,75.69364308526666,Male
158.19367815877587,79.7789432337527,Female
169.71817771661344,75.28000237533291,Female
174.28331870530417,62.743916710410375,Female
170.6651722238317,67.96385695197128,Female
173.0247189773978,67.97542856010554,Female
163.65677906319036,85.08004323573606,Male
166.37258834012863,57.18511765841481,Female
163.2753955222405,43.07851837991696,Male
166.4044683845946,84.74365984807145,Female
161.86853717955546,82.04162440216894,Male
152.73717397668324,62.98905465407826,Female
171.77426142253753,48.78650602510165,Female
165.98219063791737,53.20009825890432,Male
153.69801653033954,83.30795007747147,Female
174.62782255525775,71.14423076287227,Female
160.92701635616757,88.34693171700543,Female
170.5194539579614,60.01545521509336,Female
177.29090562177538,64.88089384220895,Female
171.2898291075741,62.43016020494508,Female
181.394006845433,74.91360030264481,Male
157.65174179646348,87.13580187254429,Female
174.0234164117755,81.19797173508537,Male
163.15189909059686,96.86584203494931,Female
161.29202850818118,68.91194335309054,Female
164.21150335235583,88.71522917100633,Female
166.88447467872626,71.06714467584777,Female
170.56165342229747,42.28339770050374,Male
158.34850159216643,99.48872308124831,Female
179.00826486954188,66.38389194341518,Male
174.6566243973046,67.63293567130292,Female
154.63756313722777,77.88186394077665,Male
184.882521937956,41.32493596833312,Female
188.95889176030585,84.02208118758281,Male
181.78779571159652,82.68919325000378,Female
168.20075164187648,71.77696998235002,Female
159.29247378489458,77.54371700747889,Male
180.54451726931137,67.02584380287517,Female
165.96823053026822,81.48303741695676,Female
182.2244507038243,83.61008434489322,Female
172.0827497807686,72.96086759059057,Female
179.76639036483712,90.60772309646129,Male
173.563663971744,55.16004927494306,Female
177.0657316819195,55.16346430437625,Male
170.1050002072082,32.84521905399608,Male
187.85870493905836,81.55381411921996,Male
171.2691209270362,68.70810129142859,Male
174.01989363444702,57.13498068179204,Female
188.83150697056254,79.58760397168494,Female
156.52240938857554,66.29199485007085,Female
157.29515001514267,73.50069352660863,Female
179.69396708158013,83.06221176969572,Female
158.2687659488584,80.10782760813007,Male
189.43621185649292,94.40900471323445,Female
165.86381019240252,81.27544777704082,Male
162.52545188559242,58.17488273195809,Female
189.22942026480385,57.87668792811799,Female
184.80514791434425,49.395944815294605,Male
188.6755896042657,63.93101180051621,Female
179.06044658275385,85.42094560678242,Male
161.38774314945297,47.218263519688904,Female
189.10064953099032,62.74299760028069,Male
167.3199662904862,79.22609806280786,Female
178.02456395796395,82.32430688746726,Female
179.47251967773747,71.899882997049,Male
168.44989906909166,78.62875062597644,Female
176.14079370346082,101.59356630288315,Female
179.22206671566528,83.41734383721383,Male
173.7642553115563,58.19273674691438,Male
159.00599209415805,49.041706594125635,Female
172.98238174206057,74.909794404346,Female
183.26385896687032,81.91981660648979,Female
163.05432140268636,63.75970141098912,Male
168.5036545967233,80.66911572299911,Male
165.64846448278362,69.39192998483185,Female
188.49263728479343,44.4331654880307,Male
176.72294757012435,78.75630228040868,Female
174.07461836241112,54.886182480292945,Female
162.30083925554683,80.87777664527074,Female
175.39249191291816,84.20078400547453,Male
163.25667339342624,77.6009933412664,Male
170.3183055827435,94.67423859118009,Female
163.64153921621119,77.6966519491657,Male
176.764332949465,74.8901428436816,Male
175.76590816614942,77.7477817490876,Male
167.91701244422006,72.42957781796922,Male
173.96006712661645,98.7141432553238,Female
159.06938491269494,80.27813466900945,Female
155.08742407294395,110.07195411009883,Male
174.39391701264537,51.07625249925157,Male
171.6667349537253,70.95063284855497,Male
176.35031436892106,60.81623668680198,Male
193.83144774863942,80.59653397977159,Male
179.44479486990414,67.7639873954507,Male
160.8717777455584,74.82176361149027,Male
181.17016288095851,64.85994438637744,Female
156.84092589488478,75.18588783246587,Male
165.3841539518529,62.97579584200205,Male
169.3175839467537,74.37837424230793,Male
187.13342721649366,76.97576154779743,Female
162.5524517795156,71.87462416854903,Female
161.73561461340987,78.39900321078065,Male
169.0154747557457,80.17935421245357,Female
163.36521713637893,63.93168061652231,Female
181.26635922106507,80.03866382067989,Male
159.20068491636576,77.40733745417283,Male
158.52531347588896,88.31409474946325,Male
165.62179955255567,71.55531906436896,Male
